	reactome-id	wp-id
571	R-HSA-5654693	
572	R-HSA-5658623	
573	R-HSA-5654726	
574	R-HSA-5654743	WP3334
575	R-HSA-5654733	
576	R-HSA-5654716	
577	R-HSA-5654719	
578	R-HSA-5654720	
579	R-HSA-5654228	
580	R-HSA-5654712	
581	R-HSA-190322	
582	R-HSA-1307965	
583	R-HSA-1502540	WP2791
584	R-HSA-2473224	
585	R-HSA-382551	
586	R-HSA-5223345	WP3320
587	R-HSA-917937	WP2670
588	R-HSA-917977	
589	R-HSA-445717	
590	R-HSA-432040	WP2662
591	R-HSA-432030	WP1926
592	R-HSA-432047	WP1877
593	R-HSA-382556	WP1780
594	R-HSA-1369007	
595	R-HSA-1369062	
596	R-HSA-983712	
597	R-HSA-975298	
598	R-HSA-936837	
599	R-HSA-2672351	
600	R-HSA-3295583	
601	R-HSA-425407	
602	R-HSA-189200	WP1828
603	R-HSA-189200	WP1828
604	R-HSA-70153	
605	R-HSA-70153	
606	R-HSA-170822	
607	R-HSA-170822	
608	R-HSA-425366	WP1935
609	R-HSA-429593	
610	R-HSA-425410	
611	R-HSA-435354	
612	R-HSA-442380	
613	R-HSA-435368	
614	R-HSA-442660	
615	R-HSA-433137	
616	R-HSA-428790	
617	R-HSA-428776	
618	R-HSA-549132	
619	R-HSA-561048	
620	R-HSA-549127	
621	R-HSA-428808	
622	R-HSA-444411	
623	R-HSA-433692	
624	R-HSA-425393	
625	R-HSA-427652	
626	R-HSA-427589	
627	R-HSA-425986	
628	R-HSA-428559	
629	R-HSA-352230	
630	R-HSA-425381	
631	R-HSA-425561	
632	R-HSA-428643	
633	R-HSA-427601	
634	R-HSA-426117	
635	R-HSA-427975	
636	R-HSA-425397	WP1937
637	R-HSA-727802	
638	R-HSA-83936	
639	R-HSA-804914	
640	R-HSA-879518	
641	R-HSA-1500931	
642	R-HSA-391160	WP1909
643	R-HSA-376172	WP1808
644	R-HSA-446728	WP1793
645	R-HSA-446107	
646	R-HSA-446353	
647	R-HSA-446343	
648	R-HSA-446388	
649	R-HSA-421270	
650	R-HSA-420029	
651	R-HSA-418990	
652	R-HSA-420597	
653	R-HSA-373753	WP1867
654	R-HSA-1643685	
655	R-HSA-5668914	
656	R-HSA-2160456	
657	R-HSA-5663084	
658	R-HSA-2206281	
659	R-HSA-2206285	
660	R-HSA-2206291	
661	R-HSA-2206290	
662	R-HSA-2206302	
663	R-HSA-2206307	
664	R-HSA-2206282	
665	R-HSA-2206305	
666	R-HSA-2206296	
667	R-HSA-2206308	
668	R-HSA-2206292	
669	R-HSA-2206280	
670	R-HSA-5662853	
671	R-HSA-6791465	
672	R-HSA-6791055	
673	R-HSA-6791461	
674	R-HSA-6791462	
675	R-HSA-5659996	
676	R-HSA-5657562	
677	R-HSA-5659898	
678	R-HSA-5657560	
